genre,genre_achievements_mean
"Action,Adventure,Casual,Indie,Racing,Sports,Strategy",32
"Action,Adventure,Casual,Indie,Racing,Strategy",NA
"Action,Adventure,Casual,Indie,RPG",278.45238095238096
"Action,Adventure,Casual,Indie,RPG,Early Access",21.3
"Action,Adventure,Casual,Indie,RPG,Racing,Simulation,Massively Multiplayer",NA
"Action,Adventure,Casual,Indie,RPG,Simulation",25.9
"Action,Adventure,Casual,Indie,RPG,Simulation,Early Access",17.5
"Action,Adventure,Casual,Indie,RPG,Simulation,Sports,Strategy",37
"Action,Adventure,Casual,Indie,RPG,Simulation,Strategy",44.666666666666664
"Action,Adventure,Casual,Indie,RPG,Simulation,Strategy,Early Access",59
"Action,Adventure,Casual,Indie,RPG,Sports",NA
"Action,Adventure,Casual,Indie,RPG,Strategy",581
"Action,Adventure,Casual,Indie,RPG,Strategy,Early Access",10
"Action,Adventure,Casual,Indie,Simulation",49.23076923076923
"Action,Adventure,Casual,Indie,Simulation,Early Access",23.25
"Action,Adventure,Casual,Indie,Simulation,Racing",NA
"Action,Adventure,Casual,Indie,Simulation,Sports",7.333333333333333
"Action,Adventure,Casual,Indie,Simulation,Sports,Early Access",NA
"Action,Adventure,Casual,Indie,Simulation,Sports,Racing",NA
"Action,Adventure,Casual,Indie,Simulation,Sports,Strategy",12
"Action,Adventure,Casual,Indie,Simulation,Sports,Strategy,Early Access",NA
"Action,Adventure,Casual,Indie,Simulation,Sports,Strategy,Violent,Massively Multiplayer,RPG",NA
"Action,Adventure,Casual,Indie,Simulation,Strategy",20.53846153846154
"Action,Adventure,Casual,Indie,Simulation,Strategy,Early Access",31.333333333333332
"Action,Adventure,Casual,Indie,Simulation,Strategy,Video Production",NA
"Action,Adventure,Casual,Indie,Simulation,Violent,Gore",NA
"Action,Adventure,Casual,Indie,Sports",36
"Action,Adventure,Casual,Indie,Sports,Early Access",NA
"Action,Adventure,Casual,Indie,Sports,Strategy",NA
"Action,Adventure,Casual,Indie,Strategy",46.58064516129032
"Action,Adventure,Casual,Indie,Strategy,Early Access",3
"Action,Adventure,Casual,Indie,Strategy,Simulation,Sports,Early Access",NA
"Action,Adventure,Casual,Indie,Violent,Gore",NA
"Action,Adventure,Casual,Massively Multiplayer",61
"Action,Adventure,Casual,Massively Multiplayer,RPG,Early Access",NA
"Action,Adventure,Casual,Massively Multiplayer,RPG,Simulation",NA
"Action,Adventure,Casual,Massively Multiplayer,RPG,Strategy",35
"Action,Adventure,Casual,Racing",21.75
"Action,Adventure,Casual,Racing,RPG,Simulation,Sports,Strategy",NA
"Action,Adventure,Casual,Racing,RPG,Sports,Strategy",12
"Action,Adventure,Casual,Racing,Simulation,Sports",NA
"Action,Adventure,Casual,Racing,Sports",NA
"Action,Adventure,Casual,RPG",1895.875
"Action,Adventure,Casual,RPG,Early Access",NA
"Action,Adventure,Casual,RPG,Simulation",NA
"Action,Adventure,Casual,RPG,Simulation,Strategy",NA
"Action,Adventure,Casual,RPG,Simulation,Strategy,Early Access",1
"Action,Adventure,Casual,RPG,Strategy",NA
"Action,Adventure,Casual,Simulation",51.4
"Action,Adventure,Casual,Simulation,Indie,RPG",NA
