genre,genre_achievements_mean
"Action,Casual,Indie,Strategy",106.11290322580645
"Action,Casual,Indie,Strategy,Adventure",NA
"Action,Casual,Indie,Strategy,Early Access",14
"Action,Casual,Indie,Strategy,Free to Play,Simulation,Sports",NA
"Action,Casual,Indie,Strategy,Simulation",NA
"Action,Casual,Massively Multiplayer",33
"Action,Casual,Massively Multiplayer,Racing,Simulation,Sports",NA
"Action,Casual,Massively Multiplayer,Racing,Simulation,Sports,Early Access",19
"Action,Casual,Massively Multiplayer,Simulation,Strategy",NA
"Action,Casual,Racing",40.2
"Action,Casual,Racing,Simulation",21.5
"Action,Casual,Racing,Simulation,Sports",34
"Action,Casual,Racing,Sports",NA
"Action,Casual,RPG",28.666666666666668
"Action,Casual,RPG,Simulation,Strategy",NA
"Action,Casual,RPG,Sports",NA
"Action,Casual,RPG,Strategy",11
"Action,Casual,Simulation",1265.5
"Action,Casual,Simulation,Early Access",NA
"Action,Casual,Simulation,Sports",15
"Action,Casual,Simulation,Sports,Adventure,Indie,Strategy,Early Access",NA
"Action,Casual,Simulation,Sports,Early Access",23
"Action,Casual,Simulation,Sports,Strategy",NA
"Action,Casual,Simulation,Strategy",3004.6
"Action,Casual,Simulation,Strategy,Early Access",6
"Action,Casual,Sports",65
"Action,Casual,Sports,Early Access",NA
"Action,Casual,Sports,Strategy",NA
"Action,Casual,Strategy",1677
"Action,Casual,Strategy,Early Access",11
"Action,Early Access",30.166666666666668
"Action,Early Access,Free to Play,Strategy",NA
"Action,Early Access,Indie",1
"Action,Education,Software Training,Utilities,Web Publishing,Game Development",NA
"Action,Free to Play",104
"Action,Free to Play,Early Access",41.2
"Action,Free to Play,Indie",31.804878048780488
"Action,Free to Play,Indie,Early Access",39.6
"Action,Free to Play,Indie,Massively Multiplayer",103.66666666666667
"Action,Free to Play,Indie,Massively Multiplayer,Early Access",NA
"Action,Free to Play,Indie,Massively Multiplayer,Racing,RPG,Simulation",NA
"Action,Free to Play,Indie,Massively Multiplayer,Racing,Sports,Strategy",NA
"Action,Free to Play,Indie,Massively Multiplayer,RPG",47.666666666666664
"Action,Free to Play,Indie,Massively Multiplayer,RPG,Early Access",100
"Action,Free to Play,Indie,Massively Multiplayer,RPG,Simulation",43
"Action,Free to Play,Indie,Massively Multiplayer,RPG,Simulation,Strategy",NA
"Action,Free to Play,Indie,Massively Multiplayer,RPG,Simulation,Strategy,Early Access",NA
"Action,Free to Play,Indie,Massively Multiplayer,RPG,Strategy",NA
"Action,Free to Play,Indie,Massively Multiplayer,Simulation",NA
"Action,Free to Play,Indie,Massively Multiplayer,Simulation,Strategy",NA
"Action,Free to Play,Indie,Massively Multiplayer,Simulation,Strategy,Early Access",NA
"Action,Free to Play,Indie,Massively Multiplayer,Sports",NA
"Action,Free to Play,Indie,Massively Multiplayer,Strategy",50
"Action,Free to Play,Indie,Massively Multiplayer,Strategy,Early Access",NA
"Action,Free to Play,Indie,Racing,Strategy",12
"Action,Free to Play,Indie,RPG",41
"Action,Free to Play,Indie,RPG,Early Access",NA
"Action,Free to Play,Indie,RPG,Strategy",30
"Action,Free to Play,Indie,RPG,Strategy,Early Access",NA
"Action,Free to Play,Indie,Simulation",NA
"Action,Free to Play,Indie,Simulation,Early Access",NA
"Action,Free to Play,Indie,Simulation,Sports",NA
"Action,Free to Play,Indie,Simulation,Sports,Strategy,Early Access",NA
"Action,Free to Play,Indie,Simulation,Strategy",84
"Action,Free to Play,Indie,Sports",NA
"Action,Free to Play,Indie,Sports,Early Access",NA
"Action,Free to Play,Indie,Strategy",36.714285714285715
"Action,Free to Play,Indie,Strategy,Early Access",NA
"Action,Free to Play,Massively Multiplayer",37.5
"Action,Free to Play,Massively Multiplayer,Early Access",17.5
"Action,Free to Play,Massively Multiplayer,Racing",184
"Action,Free to Play,Massively Multiplayer,Racing,Early Access",NA
"Action,Free to Play,Massively Multiplayer,Racing,Sports,Strategy",13
"Action,Free to Play,Massively Multiplayer,RPG",NA
"Action,Free to Play,Massively Multiplayer,RPG,Early Access",73
"Action,Free to Play,Massively Multiplayer,RPG,Strategy",NA
"Action,Free to Play,Massively Multiplayer,Simulation",79
"Action,Free to Play,Massively Multiplayer,Simulation,Early Access",NA
"Action,Free to Play,Massively Multiplayer,Simulation,Sports",27
"Action,Free to Play,Massively Multiplayer,Simulation,Strategy",36
"Action,Free to Play,Massively Multiplayer,Strategy",40.5
"Action,Free to Play,Massively Multiplayer,Strategy,Early Access",NA
"Action,Free to Play,Racing,Sports",67
"Action,Free to Play,RPG",58.666666666666664
"Action,Free to Play,Simulation",NA
"Action,Free to Play,Simulation,Sports",NA
"Action,Free to Play,Simulation,Sports,Early Access",36
"Action,Free to Play,Sports",6
"Action,Free to Play,Strategy",20
"Action,Free to Play,Strategy,Early Access",97
"Action,Gore,Strategy",NA
"Action,Indie",47.85592417061611
"Action,Indie,Adventure",NA
"Action,Indie,Adventure,Casual",NA
"Action,Indie,Adventure,Casual,Early Access",NA
"Action,Indie,Adventure,Casual,RPG,Strategy",NA
"Action,Indie,Adventure,Casual,Strategy",NA
"Action,Indie,Adventure,Early Access",NA
"Action,Indie,Adventure,RPG,Early Access",NA
"Action,Indie,Adventure,Simulation,Casual",NA
"Action,Indie,Adventure,Simulation,RPG,Strategy,Early Access",NA
"Action,Indie,Adventure,Sports,Casual,Simulation,Racing",NA
"Action,Indie,Adventure,Strategy",NA
"Action,Indie,Animation & Modeling,Design & Illustration",NA
"Action,Indie,Casual",19
"Action,Indie,Casual,Adventure",NA
"Action,Indie,Casual,Racing,Sports",NA
"Action,Indie,Casual,Simulation",NA
"Action,Indie,Casual,Simulation,Adventure",NA
"Action,Indie,Casual,Simulation,Adventure,Nudity",NA
"Action,Indie,Casual,Strategy",NA
"Action,Indie,Documentary",NA
"Action,Indie,Early Access",19.364485981308412
"Action,Indie,Early Access,Gore,Adventure",NA
"Action,Indie,Early Access,Racing",NA
"Action,Indie,Early Access,RPG",NA
"Action,Indie,Gore,Violent",NA
"Action,Indie,Massively Multiplayer",26.666666666666668
"Action,Indie,Massively Multiplayer,Early Access",13.4
"Action,Indie,Massively Multiplayer,Racing",22
"Action,Indie,Massively Multiplayer,Racing,RPG,Simulation",NA
"Action,Indie,Massively Multiplayer,Racing,Simulation,Sports",NA
"Action,Indie,Massively Multiplayer,RPG",56.5
"Action,Indie,Massively Multiplayer,RPG,Early Access",36.5
"Action,Indie,Massively Multiplayer,RPG,Simulation",NA
"Action,Indie,Massively Multiplayer,RPG,Simulation,Strategy",NA
"Action,Indie,Massively Multiplayer,RPG,Strategy",NA
"Action,Indie,Massively Multiplayer,RPG,Strategy,Early Access",NA
"Action,Indie,Massively Multiplayer,Simulation",NA
"Action,Indie,Massively Multiplayer,Simulation,Early Access",21
"Action,Indie,Massively Multiplayer,Simulation,Sports,Early Access",2
"Action,Indie,Massively Multiplayer,Simulation,Strategy",NA
"Action,Indie,Massively Multiplayer,Simulation,Strategy,Early Access",NA
"Action,Indie,Massively Multiplayer,Strategy",25
"Action,Indie,Massively Multiplayer,Strategy,Early Access",NA
"Action,Indie,Racing",24.177777777777777
"Action,Indie,Racing,Adventure,Casual,Simulation,Sexual Content,Nudity,Strategy",NA
"Action,Indie,Racing,Adventure,Massively Multiplayer,Simulation",NA
"Action,Indie,Racing,Adventure,Massively Multiplayer,Simulation,Casual",NA
"Action,Indie,Racing,Early Access",9.5
"Action,Indie,Racing,RPG,Early Access",NA
"Action,Indie,Racing,RPG,Simulation",23
"Action,Indie,Racing,RPG,Simulation,Sports",NA
"Action,Indie,Racing,RPG,Strategy",NA
"Action,Indie,Racing,Simulation",15.666666666666666
"Action,Indie,Racing,Simulation,Early Access",NA
"Action,Indie,Racing,Simulation,Sports",31
"Action,Indie,Racing,Simulation,Sports,Early Access",52
"Action,Indie,Racing,Simulation,Sports,Strategy",NA
"Action,Indie,Racing,Simulation,Strategy",14
"Action,Indie,Racing,Sports",109.15384615384616
"Action,Indie,Racing,Sports,Adventure",NA
"Action,Indie,Racing,Sports,Early Access",NA
"Action,Indie,Racing,Strategy",14
"Action,Indie,Racing,Violent",NA
"Action,Indie,RPG",44.72222222222222
"Action,Indie,RPG,Adventure",NA
"Action,Indie,RPG,Adventure,Casual",NA
"Action,Indie,RPG,Adventure,Casual,Sports,Simulation,Strategy",NA
"Action,Indie,RPG,Adventure,Sports,Simulation,Strategy",NA
"Action,Indie,RPG,Casual,Adventure",NA
"Action,Indie,RPG,Early Access",33.10526315789474
"Action,Indie,RPG,Early Access,Adventure",NA
"Action,Indie,RPG,Sexual Content,Nudity,Violent,Strategy,Adventure",NA
"Action,Indie,RPG,Simulation",75.66666666666667
"Action,Indie,RPG,Simulation,Early Access",22.75
"Action,Indie,RPG,Simulation,Strategy",31.6
"Action,Indie,RPG,Simulation,Strategy,Casual",NA
"Action,Indie,RPG,Simulation,Strategy,Early Access",21
"Action,Indie,RPG,Simulation,Strategy,Violent,Gore,Early Access",NA
"Action,Indie,RPG,Sports",16.5
"Action,Indie,RPG,Sports,Strategy",NA
"Action,Indie,RPG,Strategy",48.84
"Action,Indie,RPG,Strategy,Adventure",NA
"Action,Indie,RPG,Strategy,Adventure,Casual",NA
"Action,Indie,RPG,Strategy,Adventure,Early Access",NA
"Action,Indie,RPG,Strategy,Adventure,Simulation",NA
"Action,Indie,RPG,Strategy,Casual",NA
"Action,Indie,RPG,Strategy,Early Access",72
"Action,Indie,RPG,Strategy,Free to Play",NA
"Action,Indie,Simulation",88.63157894736842
"Action,Indie,Simulation,Adventure,Casual,RPG",NA
"Action,Indie,Simulation,Casual,Adventure",NA
"Action,Indie,Simulation,Casual,Racing,Sports,Adventure",NA
"Action,Indie,Simulation,Early Access",17.076923076923077
"Action,Indie,Simulation,Racing,Sports",NA
"Action,Indie,Simulation,Sports",19.571428571428573
"Action,Indie,Simulation,Sports,Early Access",9
"Action,Indie,Simulation,Sports,Racing",NA
"Action,Indie,Simulation,Sports,Strategy",24
"Action,Indie,Simulation,Strategy",42.05
"Action,Indie,Simulation,Strategy,Adventure,RPG",NA
"Action,Indie,Simulation,Strategy,Casual",NA
"Action,Indie,Simulation,Strategy,Early Access",25.666666666666668
"Action,Indie,Simulation,Strategy,Early Access,Racing",NA
"Action,Indie,Simulation,Violent,Adventure",NA
"Action,Indie,Sports",22.657894736842106
"Action,Indie,Sports,Adventure,RPG,Early Access,Casual",NA
"Action,Indie,Sports,Adventure,Strategy,Casual,Racing,Simulation",NA
"Action,Indie,Sports,Casual",NA
"Action,Indie,Sports,Early Access",3.6666666666666665
"Action,Indie,Sports,Sexual Content,Violent,Gore,Casual",NA
"Action,Indie,Sports,Strategy",NA
"Action,Indie,Sports,Strategy,Early Access",NA
"Action,Indie,Strategy",35.3014705882353
"Action,Indie,Strategy,Adventure,Casual",NA
"Action,Indie,Strategy,Casual",NA
"Action,Indie,Strategy,Casual,Adventure",NA
"Action,Indie,Strategy,Casual,Utilities,Web Publishing",NA
"Action,Indie,Strategy,Early Access",22.95
"Action,Indie,Strategy,Early Access,Adventure,Casual,RPG,Simulation,Violent,Gore",NA
"Action,Indie,Strategy,Free to Play",NA
"Action,Indie,Strategy,Racing,Simulation,Casual,Adventure",NA
"Action,Indie,Strategy,Simulation,Early Access,Violent",NA
"Action,Indie,Strategy,Violent,Gore",NA
"Action,Indie,Violent",NA
"Action,Indie,Violent,Gore",NA
"Action,Indie,Violent,Gore,Adventure,Casual",NA
"Action,Indie,Violent,Gore,Adventure,RPG,Casual",NA
"Action,Indie,Violent,Gore,RPG,Adventure",NA
"Action,Massively Multiplayer",43.666666666666664
"Action,Massively Multiplayer,Early Access",28
"Action,Massively Multiplayer,Racing",53
"Action,Massively Multiplayer,Racing,RPG,Simulation",NA
"Action,Massively Multiplayer,Racing,RPG,Simulation,Early Access",26
"Action,Massively Multiplayer,Racing,Simulation",NA
"Action,Massively Multiplayer,RPG",NA
"Action,Massively Multiplayer,RPG,Early Access",NA
"Action,Massively Multiplayer,RPG,Simulation",7
"Action,Massively Multiplayer,RPG,Strategy",NA
"Action,Massively Multiplayer,Simulation",140
"Action,Massively Multiplayer,Simulation,Early Access",NA
"Action,Massively Multiplayer,Simulation,Sports",NA
"Action,Massively Multiplayer,Simulation,Strategy",132
"Action,Massively Multiplayer,Simulation,Strategy,Violent,Gore,Indie",NA
"Action,Massively Multiplayer,Sports",NA
"Action,Massively Multiplayer,Strategy,Early Access",NA
"Action,Movie",NA
"Action,Racing",31.857142857142858
"Action,Racing,Early Access",13
"Action,Racing,Indie,Simulation",NA
"Action,Racing,RPG,Strategy",NA
"Action,Racing,Simulation",18.5
"Action,Racing,Simulation,Sports",13.333333333333334
"Action,Racing,Simulation,Sports,Indie,Adventure",NA
"Action,Racing,Sports",34
"Action,Racing,Sports,Indie,Strategy,RPG,Simulation",NA
"Action,Racing,Strategy",7
"Action,RPG",65.93103448275862
"Action,RPG,Adventure",NA
"Action,RPG,Casual,Indie,Adventure",NA
"Action,RPG,Early Access",1
"Action,RPG,Indie",13
"Action,RPG,Indie,Simulation,Racing,Casual",NA
"Action,RPG,Simulation",56.666666666666664
"Action,RPG,Simulation,Early Access",16
"Action,RPG,Simulation,Strategy",59
"Action,RPG,Simulation,Strategy,Early Access",NA
"Action,RPG,Sports,Early Access",25
"Action,RPG,Strategy",40.166666666666664
"Action,RPG,Strategy,Early Access",NA
"Action,RPG,Violent",NA
"Action,RPG,Violent,Gore",NA
"Action,Sexual Content,Nudity,Violent,Gore,Adventure",NA
"Action,Simulation",25
"Action,Simulation,Adventure",NA
"Action,Simulation,Adventure,RPG,Strategy,Racing",NA
"Action,Simulation,Early Access",11.5
"Action,Simulation,Indie,RPG,Strategy",NA
"Action,Simulation,Sports",1012.4
"Action,Simulation,Sports,Early Access",65
"Action,Simulation,Sports,Strategy",48
"Action,Simulation,Strategy",90.6
"Action,Simulation,Strategy,Early Access",NA
"Action,Simulation,Strategy,Indie",NA
"Action,Sports",22
"Action,Sports,Early Access",NA
"Action,Sports,Early Access,Indie,Simulation",NA
"Action,Sports,Simulation",NA
"Action,Sports,Strategy",27
"Action,Sports,Strategy,Early Access",5
"Action,Strategy",53.60606060606061
"Action,Strategy,Casual",59
"Action,Strategy,Early Access",19
"Action,Strategy,Indie",57.5
"Action,Strategy,Indie,Casual",NA
"Action,Strategy,Indie,Simulation",NA
"Action,Strategy,Indie,Sports",51
"Action,Strategy,Nudity,Gore",NA
"Action,Strategy,RPG,Indie",NA
"Action,Strategy,Violent",NA
"Action,Violent",NA
"Action,Violent,Movie",NA
Adventure,25.871951219512194
"Adventure,Action",NA
"Adventure,Action,Casual,Indie,RPG",NA
"Adventure,Action,Indie",NA
"Adventure,Action,Indie,RPG",NA
"Adventure,Action,Strategy",NA
"Adventure,Casual",21.095541401273884
"Adventure,Casual,Action",NA
"Adventure,Casual,Early Access",1
"Adventure,Casual,Free to Play",37.2
"Adventure,Casual,Free to Play,Early Access",NA
"Adventure,Casual,Free to Play,Indie",14.133333333333333
"Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG,Strategy",49
"Adventure,Casual,Free to Play,Indie,Racing,Simulation",NA
"Adventure,Casual,Free to Play,Indie,RPG",13
"Adventure,Casual,Free to Play,Indie,RPG,Early Access",NA
"Adventure,Casual,Free to Play,Indie,RPG,Simulation",NA
"Adventure,Casual,Free to Play,Indie,RPG,Simulation,Strategy",74.25
"Adventure,Casual,Free to Play,Indie,RPG,Simulation,Strategy,Early Access",NA
"Adventure,Casual,Free to Play,Indie,RPG,Strategy",NA
"Adventure,Casual,Free to Play,Indie,Simulation",14.5
"Adventure,Casual,Free to Play,Indie,Simulation,Sports,Strategy",96
"Adventure,Casual,Free to Play,Indie,Simulation,Sports,Strategy,Action",NA
"Adventure,Casual,Free to Play,Indie,Simulation,Strategy",NA
"Adventure,Casual,Free to Play,Indie,Strategy",3
"Adventure,Casual,Free to Play,Indie,Strategy,Early Access",15
"Adventure,Casual,Free to Play,Massively Multiplayer,RPG",18
"Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Simulation,Sports,Early Access",114
"Adventure,Casual,Free to Play,Massively Multiplayer,Simulation,Sports,Early Access",NA
"Adventure,Casual,Free to Play,Massively Multiplayer,Strategy",220
"Adventure,Casual,Free to Play,RPG",NA
"Adventure,Casual,Free to Play,RPG,Simulation,Strategy",55
"Adventure,Casual,Free to Play,Simulation",NA
"Adventure,Casual,Free to Play,Sports",12
"Adventure,Casual,Free to Play,Strategy",NA
"Adventure,Casual,Indie",47.83653846153846
"Adventure,Casual,Indie,Action",NA
"Adventure,Casual,Indie,Action,RPG",NA
"Adventure,Casual,Indie,Action,RPG,Simulation",NA
"Adventure,Casual,Indie,Action,RPG,Strategy,Violent,Gore",NA
"Adventure,Casual,Indie,Action,Simulation",NA
"Adventure,Casual,Indie,Action,Simulation,Strategy",NA
"Adventure,Casual,Indie,Action,Strategy,Early Access",NA
"Adventure,Casual,Indie,Action,Strategy,Massively Multiplayer",NA
"Adventure,Casual,Indie,Action,Strategy,Simulation,Racing,Sports",NA
"Adventure,Casual,Indie,Animation & Modeling,Education,Video Production",NA
"Adventure,Casual,Indie,Documentary",NA
"Adventure,Casual,Indie,Early Access",464.4
"Adventure,Casual,Indie,Early Access,Action",NA
"Adventure,Casual,Indie,Free to Play",NA
"Adventure,Casual,Indie,Massively Multiplayer",NA
"Adventure,Casual,Indie,Massively Multiplayer,RPG,Simulation,Sports,Strategy",NA
"Adventure,Casual,Indie,Massively Multiplayer,RPG,Simulation,Strategy,Early Access",NA
"Adventure,Casual,Indie,Massively Multiplayer,RPG,Strategy",35
"Adventure,Casual,Indie,Massively Multiplayer,Simulation",18
"Adventure,Casual,Indie,Massively Multiplayer,Strategy",NA
"Adventure,Casual,Indie,Massively Multiplayer,Strategy,Early Access",36
"Adventure,Casual,Indie,Nudity",NA
"Adventure,Casual,Indie,Racing",24.333333333333332
"Adventure,Casual,Indie,Racing,Early Access",NA
"Adventure,Casual,Indie,Racing,RPG,Simulation,Strategy",54
"Adventure,Casual,Indie,Racing,Simulation",56
"Adventure,Casual,Indie,Racing,Simulation,Early Access",1
"Adventure,Casual,Indie,Racing,Simulation,Sports",4
"Adventure,Casual,Indie,Racing,Simulation,Sports,Early Access",19
"Adventure,Casual,Indie,Racing,Simulation,Sports,Strategy",NA
"Adventure,Casual,Indie,Racing,Simulation,Sports,Strategy,Action,RPG",NA
"Adventure,Casual,Indie,Racing,Strategy",NA
"Adventure,Casual,Indie,RPG",106.01315789473684
"Adventure,Casual,Indie,RPG,Action",NA
"Adventure,Casual,Indie,RPG,Early Access",14.333333333333334
"Adventure,Casual,Indie,RPG,Simulation",31.8125
"Adventure,Casual,Indie,RPG,Simulation,Early Access",15.333333333333334
"Adventure,Casual,Indie,RPG,Simulation,Sports",55.5
"Adventure,Casual,Indie,RPG,Simulation,Sports,Strategy",22
"Adventure,Casual,Indie,RPG,Simulation,Strategy",24.318181818181817
"Adventure,Casual,Indie,RPG,Simulation,Strategy,Early Access",NA
"Adventure,Casual,Indie,RPG,Sports",NA
"Adventure,Casual,Indie,RPG,Strategy",475.45454545454544
"Adventure,Casual,Indie,RPG,Strategy,Action",NA
"Adventure,Casual,Indie,RPG,Strategy,Early Access",7
"Adventure,Casual,Indie,RPG,Strategy,Simulation",NA
"Adventure,Casual,Indie,RPG,Strategy,Simulation,Action",NA
"Adventure,Casual,Indie,Sexual Content,Nudity,RPG",NA
"Adventure,Casual,Indie,Sexual Content,Nudity,Violent,Action",NA
"Adventure,Casual,Indie,Simulation",22.94736842105263
"Adventure,Casual,Indie,Simulation,Accounting",NA
"Adventure,Casual,Indie,Simulation,Early Access",19.75
"Adventure,Casual,Indie,Simulation,Sports",161
"Adventure,Casual,Indie,Simulation,Sports,Strategy",NA
"Adventure,Casual,Indie,Simulation,Sports,Strategy,Action",NA
"Adventure,Casual,Indie,Simulation,Strategy",35.30769230769231
"Adventure,Casual,Indie,Simulation,Strategy,Early Access",12
"Adventure,Casual,Indie,Simulation,Strategy,RPG",NA
"Adventure,Casual,Indie,Simulation,Violent,Action",NA
"Adventure,Casual,Indie,Sports",47
"Adventure,Casual,Indie,Sports,Early Access",NA
"Adventure,Casual,Indie,Sports,Strategy",5
"Adventure,Casual,Indie,Strategy",20.14814814814815
"Adventure,Casual,Indie,Strategy,Action",NA
"Adventure,Casual,Indie,Strategy,Early Access",34.333333333333336
"Adventure,Casual,Indie,Strategy,Early Access,Action",NA
"Adventure,Casual,Indie,Strategy,Simulation,Sports",NA
"Adventure,Casual,Indie,Strategy,Simulation,Sports,Early Access",NA
"Adventure,Casual,Indie,Violent",NA
"Adventure,Casual,Indie,Violent,Action,Simulation",NA
"Adventure,Casual,Massively Multiplayer,Simulation",NA
"Adventure,Casual,Nudity",NA
"Adventure,Casual,Racing",20
"Adventure,Casual,RPG",14.75
"Adventure,Casual,RPG,Early Access",NA
"Adventure,Casual,RPG,Indie",NA
"Adventure,Casual,RPG,Simulation",44.333333333333336
"Adventure,Casual,RPG,Simulation,Early Access",NA
"Adventure,Casual,RPG,Simulation,Strategy",14.5
"Adventure,Casual,RPG,Strategy",43.5
"Adventure,Casual,Simulation",19.708333333333332
"Adventure,Casual,Simulation,Design & Illustration",NA
"Adventure,Casual,Simulation,Strategy",275
"Adventure,Casual,Simulation,Strategy,Indie",NA
"Adventure,Casual,Sports",NA
"Adventure,Casual,Strategy",26.555555555555557
"Adventure,Casual,Strategy,Early Access",73
"Adventure,Casual,Strategy,Indie",NA
"Adventure,Casual,Strategy,Simulation",NA
"Adventure,Documentary",NA
"Adventure,Early Access",10.6
"Adventure,Free to Play",14.75
"Adventure,Free to Play,Indie",12.2
"Adventure,Free to Play,Indie,Early Access",4
"Adventure,Free to Play,Indie,Massively Multiplayer",NA
"Adventure,Free to Play,Indie,Massively Multiplayer,RPG",NA
"Adventure,Free to Play,Indie,Massively Multiplayer,RPG,Early Access",136
"Adventure,Free to Play,Indie,Massively Multiplayer,RPG,Strategy",NA
"Adventure,Free to Play,Indie,RPG",20.8
"Adventure,Free to Play,Indie,RPG,Early Access",14
"Adventure,Free to Play,Indie,RPG,Strategy",25
"Adventure,Free to Play,Indie,Simulation",NA
"Adventure,Free to Play,Indie,Simulation,Early Access",NA
"Adventure,Free to Play,Indie,Strategy",NA
"Adventure,Free to Play,Indie,Strategy,Early Access",NA
"Adventure,Free to Play,Massively Multiplayer",33
"Adventure,Free to Play,Massively Multiplayer,RPG",65.5
"Adventure,Free to Play,Massively Multiplayer,RPG,Simulation,Early Access",NA
"Adventure,Free to Play,Massively Multiplayer,RPG,Strategy",146
"Adventure,Free to Play,Massively Multiplayer,Simulation,Early Access",NA
"Adventure,Free to Play,RPG",NA
"Adventure,Free to Play,RPG,Simulation,Strategy,Early Access",NA
"Adventure,Free to Play,RPG,Strategy",19.333333333333332
"Adventure,Free to Play,RPG,Strategy,Early Access",NA
"Adventure,Free to Play,Simulation",NA
"Adventure,Free to Play,Simulation,Strategy",94
"Adventure,Free to Play,Sports",NA
"Adventure,Indie",19.646288209606986
"Adventure,Indie,Action",NA
"Adventure,Indie,Action,Casual",NA
"Adventure,Indie,Action,Casual,RPG",NA
"Adventure,Indie,Action,Casual,RPG,Strategy,Early Access",NA
"Adventure,Indie,Action,Early Access,Casual",NA
"Adventure,Indie,Action,Simulation,Strategy",NA
"Adventure,Indie,Casual",NA
"Adventure,Indie,Casual,Action",NA
"Adventure,Indie,Casual,Action,RPG",NA
"Adventure,Indie,Casual,Simulation,Sports",NA
"Adventure,Indie,Casual,Simulation,Strategy",NA
"Adventure,Indie,Casual,Strategy,Action",NA
"Adventure,Indie,Early Access",13.5
"Adventure,Indie,Free to Play,RPG",NA
"Adventure,Indie,Massively Multiplayer",85
"Adventure,Indie,Massively Multiplayer,Early Access",NA
"Adventure,Indie,Massively Multiplayer,RPG",35
"Adventure,Indie,Massively Multiplayer,RPG,Early Access",NA
"Adventure,Indie,Massively Multiplayer,RPG,Simulation,Early Access",NA
"Adventure,Indie,Massively Multiplayer,RPG,Simulation,Strategy,Early Access",NA
"Adventure,Indie,Massively Multiplayer,RPG,Strategy",59
"Adventure,Indie,Massively Multiplayer,Simulation,Early Access",NA
"Adventure,Indie,Massively Multiplayer,Strategy,Early Access",NA
"Adventure,Indie,Movie",NA
"Adventure,Indie,Nudity,Violent",NA
"Adventure,Indie,Racing",125
"Adventure,Indie,Racing,Early Access",42
"Adventure,Indie,Racing,Simulation,Early Access",NA
"Adventure,Indie,Racing,Simulation,Sports",8
"Adventure,Indie,Racing,Strategy,Early Access",NA
"Adventure,Indie,RPG",77.30483271375465
"Adventure,Indie,RPG,Action",NA
"Adventure,Indie,RPG,Action,Casual",NA
"Adventure,Indie,RPG,Action,Casual,Simulation",NA
"Adventure,Indie,RPG,Action,Strategy,Early Access,Simulation",NA
"Adventure,Indie,RPG,Casual",NA
"Adventure,Indie,RPG,Casual,Strategy",NA
"Adventure,Indie,RPG,Casual,Strategy,Simulation,Massively Multiplayer,Early Access",NA
"Adventure,Indie,RPG,Early Access",32.09090909090909
"Adventure,Indie,RPG,Early Access,Casual,Action,Racing",NA
"Adventure,Indie,RPG,Massively Multiplayer",NA
"Adventure,Indie,RPG,Massively Multiplayer,Casual,Strategy,Simulation",NA
"Adventure,Indie,RPG,Nudity",NA
"Adventure,Indie,RPG,Sexual Content,Nudity,Violent,Casual",NA
"Adventure,Indie,RPG,Simulation",53.4
"Adventure,Indie,RPG,Simulation,Casual",NA
"Adventure,Indie,RPG,Simulation,Early Access",22
"Adventure,Indie,RPG,Simulation,Strategy",38.30769230769231
"Adventure,Indie,RPG,Simulation,Strategy,Action,Casual",NA
"Adventure,Indie,RPG,Simulation,Strategy,Action,Massively Multiplayer,Casual",NA
"Adventure,Indie,RPG,Simulation,Strategy,Early Access",42
"Adventure,Indie,RPG,Simulation,Strategy,Sexual Content,Casual",NA
"Adventure,Indie,RPG,Strategy",46.64705882352941
"Adventure,Indie,RPG,Strategy,Action",NA
"Adventure,Indie,RPG,Strategy,Action,Casual",NA
"Adventure,Indie,RPG,Strategy,Action,Violent,Gore",NA
"Adventure,Indie,RPG,Strategy,Casual,Simulation,Action",NA
"Adventure,Indie,RPG,Strategy,Early Access",55.54545454545455
"Adventure,Indie,Simulation",24.016666666666666
"Adventure,Indie,Simulation,Action",NA
"Adventure,Indie,Simulation,Action,Casual,Sports,Strategy,Racing",NA
"Adventure,Indie,Simulation,Casual,Action,Massively Multiplayer,Early Access,Strategy",NA
"Adventure,Indie,Simulation,Early Access",17.333333333333332
"Adventure,Indie,Simulation,Sports",NA
"Adventure,Indie,Simulation,Strategy",28.75
"Adventure,Indie,Simulation,Strategy,Action,Casual,RPG,Sports",NA
"Adventure,Indie,Simulation,Strategy,Early Access",46.333333333333336
"Adventure,Indie,Sports",9
"Adventure,Indie,Strategy",30.2
"Adventure,Indie,Strategy,Action",NA
"Adventure,Indie,Strategy,Action,Casual,RPG,Sports,Simulation,Sexual Content",NA
"Adventure,Indie,Strategy,Action,Simulation",NA
"Adventure,Indie,Strategy,Casual,Action",NA
"Adventure,Indie,Strategy,Casual,Simulation",NA
"Adventure,Indie,Strategy,Early Access",11
"Adventure,Indie,Strategy,Simulation",NA
"Adventure,Indie,Violent,Action",NA
"Adventure,Indie,Violent,Gore",NA
"Adventure,Massively Multiplayer,RPG",NA
"Adventure,Massively Multiplayer,RPG,Simulation",NA
"Adventure,Massively Multiplayer,RPG,Simulation,Early Access",NA
"Adventure,Massively Multiplayer,RPG,Strategy",1448
"Adventure,Massively Multiplayer,Strategy,Early Access",17
"Adventure,Nudity",NA
"Adventure,Racing",3
"Adventure,Racing,Simulation,Sports",54
"Adventure,RPG",38.96666666666667
"Adventure,RPG,Action",NA
